idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
128711,DK,8,9,Complete trust,9,8,8,8,8
128797,DK,8,8,8,9,6,6,7,8
128801,DK,8,8,9,9,7,7,7,8
128840,DK,8,5,3,1,No trust at all,5,8,8
128912,DK,7,8,8,8,4,4,4,3
128956,DK,Most people can be trusted,8,9,9,7,7,Don't know,6
128969,DK,5,5,5,5,3,5,5,7
128994,DK,7,7,8,7,7,7,7,Don't know
129025,DK,7,4,9,7,2,4,3,5
129077,DK,Most people can be trusted,3,8,8,No trust at all,4,4,4
129141,DK,9,5,Complete trust,9,5,5,5,7
129153,DK,4,2,3,6,4,4,2,3
129383,DK,3,7,8,7,6,6,6,6
129421,DK,5,No trust at all,6,6,2,1,No trust at all,No trust at all
129508,DK,9,5,8,8,7,6,Don't know,8
129574,DK,8,7,8,8,6,7,7,8
129709,DK,8,8,9,8,6,4,4,6
129712,DK,6,5,3,8,3,3,3,3
129754,DK,8,7,7,6,5,5,4,6
129768,DK,8,7,8,9,7,7,5,7
129804,DK,8,5,5,5,5,8,5,5
129823,DK,5,No trust at all,9,Complete trust,1,No trust at all,No trust at all,8
129965,DK,3,3,5,4,2,2,7,4
130001,DK,3,1,7,5,1,1,1,2
130058,DK,8,Complete trust,Complete trust,Complete trust,7,8,No trust at all,8
130078,DK,5,8,Complete trust,Complete trust,8,8,6,5
130090,DK,3,7,7,6,7,6,4,8
130177,DK,7,8,7,8,8,7,7,8
130192,DK,7,5,8,7,6,6,5,6
130251,DK,8,8,9,9,5,5,3,8
130293,DK,8,6,Complete trust,Complete trust,8,7,5,7
130303,DK,7,9,9,Complete trust,5,5,7,8
130348,DK,8,6,7,8,7,7,7,5
130349,DK,3,6,8,9,7,8,6,8
130379,DK,7,5,7,5,5,5,5,7
130390,DK,2,4,9,9,2,2,Don't know,8
130412,DK,6,2,7,7,4,3,3,5
130417,DK,7,5,5,8,4,4,8,Don't know
130451,DK,7,7,9,9,7,7,6,8
130583,DK,4,5,8,9,3,3,7,7
130664,DK,5,2,9,2,7,No trust at all,5,5
130736,DK,7,8,9,Complete trust,8,8,9,9
130753,DK,7,6,7,9,7,6,3,Don't know
130784,DK,5,3,3,3,3,2,2,4
130838,DK,7,1,No trust at all,9,4,5,No trust at all,No trust at all
130842,DK,9,9,9,9,7,9,9,Complete trust
130905,DK,5,5,Complete trust,Complete trust,4,5,4,5
130932,DK,8,6,9,9,6,7,6,6
130951,DK,7,7,8,8,6,6,7,7
130980,DK,8,8,8,8,7,6,7,7
131004,DK,9,9,9,9,8,7,7,6
131072,DK,6,5,8,8,3,3,3,8
131228,DK,9,8,9,Complete trust,7,7,6,8
131288,DK,7,8,9,8,5,5,3,6
131326,DK,9,8,9,8,7,7,6,7
131366,DK,6,7,5,8,7,6,5,6
131429,DK,8,7,9,7,6,6,6,5
131432,DK,Most people can be trusted,Complete trust,Complete trust,Complete trust,6,Complete trust,3,Complete trust
131603,DK,6,5,3,5,2,2,Don't know,Don't know
131607,DK,4,4,7,6,2,2,2,4
131760,DK,6,6,6,2,8,7,4,3
131762,DK,8,8,7,9,7,6,8,8
131883,DK,7,4,2,8,5,6,4,5
131943,DK,7,5,7,4,2,No trust at all,Don't know,Don't know
131973,DK,7,8,8,Complete trust,6,8,8,9
132052,DK,8,8,9,8,6,6,7,7
132063,DK,9,7,8,9,6,7,7,8
132065,DK,7,6,6,8,8,7,6,6
132118,DK,9,7,9,9,7,7,7,8
132178,DK,7,8,Complete trust,9,6,6,8,Complete trust
132188,DK,9,7,Complete trust,9,4,5,3,3
132311,DK,9,Complete trust,Complete trust,Complete trust,5,5,Complete trust,5
132315,DK,8,6,8,9,5,6,6,8
132320,DK,6,3,7,9,3,3,No trust at all,5
132363,DK,8,8,9,Complete trust,3,4,2,2
132367,DK,5,8,8,9,5,5,7,7
132472,DK,5,5,8,7,6,5,5,5
132488,DK,4,3,5,7,3,3,3,3
132507,DK,8,Complete trust,Complete trust,9,7,7,6,7
132581,DK,9,3,9,9,2,3,6,2
132640,DK,4,3,4,3,2,2,3,2
132704,DK,7,7,8,8,7,7,8,8
132710,DK,7,3,7,9,3,4,3,4
132852,DK,8,5,8,Complete trust,7,7,6,7
132858,DK,8,6,7,7,6,5,5,6
132874,DK,8,8,Complete trust,9,4,4,8,5
132973,DK,8,7,8,9,4,5,4,8
133013,DK,5,6,4,4,5,5,6,5
