idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtvtddk,gndr,agea,edlvddk,infqbst,grspnum,region
127291,DK,9,8,8,7,2,4,5,6,Enhedslisten - Unity List - The Red-Green Alliance,Female,63,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Hovedstaden
127306,DK,9,4,7,8,2,3,6,5,Alternativet - The Alternative,Female,24,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,,Midtjylland
127345,DK,6,5,8,7,3,4,,7,SF Socialistisk Folkeparti - Socialist People's Party,Female,26,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,,Midtjylland
127429,DK,6,8,8,6,4,1,6,4,Socialdemokratiet - The Social democrats,Male,73,Folkeskole 6.-8. klasse,Monthly,,Sjælland
127435,DK,10,8,10,6,7,7,8,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,57,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,27000,Hovedstaden
127447,DK,6,0,4,10,0,0,0,,,Female,71,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Hovedstaden
127504,DK,7,6,9,10,5,5,4,7,Alternativet - The Alternative,Male,39,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Sjælland
127511,DK,8,8,9,9,5,6,6,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,73,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Nordjylland
127576,DK,7,7,6,8,5,5,5,6,,Male,45,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,33000,Midtjylland
127622,DK,10,10,10,10,8,7,,8,,Female,40,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,23000,Midtjylland
127641,DK,8,8,10,10,8,8,8,8,Det Konservative Folkeparti - Conservative People's Party,Male,58,Folkeskole 6.-8. klasse,Monthly,33000,Syddanmark
127701,DK,10,5,,9,1,4,4,,Dansk Folkeparti - Danish People's Party,Male,80,Folkeskole 6.-8. klasse,Monthly,,Syddanmark
127841,DK,7,4,4,6,3,5,7,5,,Male,19,Folkeskole 9.-10. klasse,Annual,108000,Hovedstaden
127994,DK,8,4,6,8,4,4,3,5,Socialdemokratiet - The Social democrats,Male,39,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",,,Syddanmark
128018,DK,8,9,10,10,8,9,8,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,60,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",,,Midtjylland
128019,DK,10,7,5,5,2,3,4,5,Enhedslisten - Unity List - The Red-Green Alliance,Female,62,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,400000,Midtjylland
128028,DK,7,8,9,8,6,7,6,7,Socialdemokratiet - The Social democrats,Male,63,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,,Hovedstaden
128040,DK,6,7,8,9,5,6,7,8,,Male,17,Folkeskole 9.-10. klasse,,,Midtjylland
128062,DK,7,9,9,6,7,8,7,8,SF Socialistisk Folkeparti - Socialist People's Party,Female,57,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",,,Syddanmark
128137,DK,7,5,9,9,4,4,3,3,,Female,54,Universitetsbachelor. 1. del af kandidatuddannelse,Annual,500000,Midtjylland
128182,DK,8,7,9,7,7,5,,8,Enhedslisten - Unity List - The Red-Green Alliance,Male,64,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Hovedstaden
128217,DK,7,8,8,8,8,8,9,7,Socialdemokratiet - The Social democrats,Female,78,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Midtjylland
128246,DK,0,8,9,9,6,6,6,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,66,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Annual,400000,Sjælland
128278,DK,8,,8,8,5,3,6,5,Socialdemokratiet - The Social democrats,Female,62,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Syddanmark
128321,DK,7,9,10,10,10,9,10,10,,Female,17,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",,,Syddanmark
128327,DK,9,8,9,9,7,8,8,,Socialdemokratiet - The Social democrats,Male,48,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Weekly,8400,Hovedstaden
128418,DK,7,6,8,8,7,7,,7,,Male,17,Folkeskole 9.-10. klasse,,,Sjælland
128426,DK,7,5,6,10,4,4,3,4,Socialdemokratiet - The Social democrats,Female,70,Folkeskole 6.-8. klasse,Monthly,,Nordjylland
128439,DK,8,8,9,9,6,6,6,6,Socialdemokratiet - The Social democrats,Male,80,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Midtjylland
128445,DK,7,6,4,4,4,6,7,8,Socialdemokratiet - The Social democrats,Female,26,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,20000,Midtjylland
128471,DK,8,7,8,8,7,8,6,7,Enhedslisten - Unity List - The Red-Green Alliance,Male,50,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,35000,Midtjylland
128488,DK,6,6,5,8,4,5,7,8,Dansk Folkeparti - Danish People's Party,Male,85,Folkeskole 6.-8. klasse,Monthly,,Syddanmark
128596,DK,7,3,7,9,2,2,0,4,,Female,62,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",,,Nordjylland
128614,DK,3,5,9,10,5,5,8,8,Dansk Folkeparti - Danish People's Party,Male,76,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
128645,DK,9,9,9,9,9,9,5,8,Det Konservative Folkeparti - Conservative People's Party,Female,55,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,999999,Midtjylland
128685,DK,7,6,7,7,3,1,3,4,,Male,65,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,,Midtjylland
128711,DK,8,9,10,9,8,8,8,8,Det Radikale Venstre - The Radical Liberal Party,Male,63,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Annual,1500000,Midtjylland
128797,DK,8,8,8,9,6,6,7,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,42,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,43000,Nordjylland
