,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
1442,143622,Female,49,DK03,Liberal Alliance - Liberal Alliance,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,55000.0
1443,143817,Male,69,DK04,Det Radikale Venstre - The Radical Liberal Party,Universitetsbachelor. 1. del af kandidatuddannelse,Not applicable,
1444,143857,Female,58,DK03,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,38500.0
1445,143892,Male,38,DK04,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,35500.0
1446,143903,Male,74,DK02,Kristendemokraterne - Christian Democrats,Folkeskole 6.-8. klasse,Annual,
1447,143993,Female,55,DK04,Socialdemokratiet - The Social democrats,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,31000.0
1448,144010,Male,40,DK04,Enhedslisten - Unity List - The Red-Green Alliance,"Forskeruddannelse. Ph.d., doktor",Monthly,46000.0
1449,144039,Male,42,DK02,Liberal Alliance - Liberal Alliance,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,53500.0
1450,144060,Female,15,DK03,Not applicable,Folkeskole 9.-10. klasse,No answer,
1451,144065,Female,29,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,30300.0
1452,144094,Female,39,DK04,Refusal,"Forskeruddannelse. Ph.d., doktor",Annual,750000.0
1453,144155,Male,83,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,
1454,144172,Female,63,DK03,Refusal,Folkeskole 9.-10. klasse,Monthly,25000.0
1455,144192,Male,37,DK03,Det Radikale Venstre - The Radical Liberal Party,Universitetsbachelor. 1. del af kandidatuddannelse,Annual,150000.0
1456,144284,Male,61,DK01,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,30000.0
1457,144424,Female,64,DK05,Don't know,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Refusal,
1458,144517,Female,71,DK04,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Monthly,
1459,144586,Male,51,DK04,Dansk Folkeparti - Danish People's Party,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,50000.0
1460,144663,Female,31,DK04,Socialdemokratiet - The Social democrats,Universitetsbachelor. 1. del af kandidatuddannelse,Monthly,
1461,144679,Female,71,DK01,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1462,144719,Male,72,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,
1463,144755,Female,19,DK01,Not applicable,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,
1464,144767,Female,54,DK05,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,27000.0
